Team,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m)
Algeria,5.94,3638,1240,330809.85
Argentina,5.71,3329,1099,318655.05
Australia,6.15,4023,1375,345911.08
Austria,6.04,3776,1274,454301.2
Belgium,6.21,5924,2095,505425.11
Bosnia and Herzegovina,6.04,4863,1756,453585
Brazil,5.92,4919,1705,448014.6
Cabo Verde,5.97,3419,1207,335193.42
Canada,6.12,5536,2032,454227.11
Colombia,5.63,3289,1146,315670.95
Congo DR,5.96,4983,1780,447455.88
Croatia,6.07,3743,1381,334228.99
Curaçao,5.74,3093,1230,315767.46
Czechia,6.33,4330,1381,348826.43
Côte d'Ivoire,5.81,4657,1692,434938.12
Ecuador,5.72,4598,1793,426982.84
Egypt,6.14,4068,1515,346823.8
England,6.13,5111,1964,455964.26
France,6.07,4675,1695,444687.06
Germany,6.29,5991,1990,508926.8
Ghana,5.85,3429,1275,331255.68
Haiti,5.96,3975,1376,334085.63
IR Iran,6.08,4061,1347,344366.12
Iraq,6.09,3746,1209,328508.46
Japan,6.02,4678,1669,446744.57
Jordan,6.13,4296,1363,347325.19
Korea Republic,6.09,3553,1298,334954.79
Mexico,6.09,5251,1805,451798.7
Morocco,5.94,5228,2036,480903.65
Netherlands,5.77,4601,1590,455769.39
New Zealand,6.22,4280,1492,349040.82
Norway,6.19,5295,1853,464494.35
Panama,6.04,3745,1372,336713.09
Paraguay,6,5248,1818,488152.5
Portugal,5.88,3395,1260,324019.59
Qatar,5.64,3584,1080,310036.75
Saudi Arabia,6.02,4110,1450,338484.3
Scotland,6.21,3766,1251,348567.52
Senegal,5.86,5363,2010,492777.45
South Africa,5.9,5039,1884,429068.84
Spain,6.12,3716,1256,456675.76
Sweden,5.99,4426,1586,439790.02
Switzerland,6,4041,1348,334171.2
Tunisia,6.09,3503,1213,333260.77
Türkiye,6.1,3548,1289,350818.34
USA,6.17,5775,1993,475647.91
Uruguay,5.88,3668,1448,337450.99
Uzbekistan,5.9,3793,1354,337440.01
