,count,mean,std,min,25%,50%,75%,max
Attacking - Assists,48.0,3.4791666666666665,2.8208161134854737,0.0,1.0,3.0,5.0,12.0
Attacking - Attempts At Goal,48.0,39.854166666666664,16.144282412356677,15.0,29.0,35.5,48.25,74.0
Attacking - Attempts At Goal Conv. Rate (%),48.0,11.854166666666666,6.239849914088849,0.0,6.0,11.5,16.0,25.0
Attacking - Attempts Inside the Penalty Area,48.0,24.583333333333332,11.97485545301351,6.0,15.0,22.0,34.25,51.0
Attacking - Attempts On Target,48.0,13.625,7.081966910339877,2.0,8.0,12.5,18.25,34.0
Attacking - Attempts Outside the Penalty Area,48.0,15.270833333333334,6.289943284706364,4.0,11.0,15.0,18.0,33.0
Attacking - Corners,48.0,14.604166666666666,7.626213425132669,4.0,9.0,12.0,19.0,39.0
Attacking - Goals,48.0,4.770833333333333,3.1096252995411042,0.0,2.0,4.5,7.0,13.0
Attacking - Headed Attempts at Goal,48.0,6.5625,3.5902127596528968,2.0,4.0,5.5,8.25,16.0
Attacking - Off-Target Attempts,48.0,16.75,6.563924617405255,5.0,13.0,15.0,21.0,35.0
Attacking - Possession Control (%),48.0,45.395833333333336,9.129656103456247,28.0,37.0,46.5,52.25,62.0
Attacking - Rank,48.0,22.208333333333332,12.987650981381675,1.0,11.0,22.0,33.0,48.0
Attacking - xG,48.0,4.067083333333334,2.151730583401672,1.12,2.0999999999999996,3.695,5.5,8.64
Attacking - xG Efficiency,48.0,1.1854166666666666,0.5518670759372641,0.0,0.815,1.125,1.5375,2.73
Distribution - Rank,48.0,24.5,14.0,1.0,12.75,24.5,36.25,48.0
Distribution - Crosses,48.0,54.229166666666664,22.947896193688695,21.0,35.75,51.0,66.0,131.0
Distribution - Crossing Accuracy (%),48.0,24.791666666666668,5.558043178280572,14.0,21.0,25.0,28.25,37.0
Distribution - Defensive Linebreaks Acc (%),48.0,48.520833333333336,11.783489320544058,22.0,40.0,49.5,57.25,72.0
Distribution - Defensive Linebreaks Attempted,48.0,63.75,16.111975194893116,40.0,50.75,62.0,76.0,102.0
Distribution - Passes,48.0,1549.3125,455.6677193731452,912.0,1128.5,1554.0,1850.0,2721.0
Distribution - Passing Accuracy (%),48.0,84.89583333333333,4.741126463388629,72.0,81.0,87.0,88.0,92.0
Distribution - Switches of Play Acc (%),48.0,82.22916666666667,10.431620472091518,56.0,75.0,81.0,91.0,100.0
Distribution - Switches of Play Attempted,48.0,16.479166666666668,5.925026558279047,5.0,13.0,16.0,21.0,32.0
Defending - Rank,48.0,9.6875,4.288312915305327,1.0,12.0,12.0,12.0,12.0
Defending - Ball Recovery Time (s),48.0,53.463541666666664,12.373840025511496,29.94,44.9025,50.685,63.1875,80.59
Defending - Defensive Pressures Applied,48.0,828.25,179.4830045886524,490.0,702.5,834.5,920.5,1421.0
Defending - Defensive Pressures Directly Applied,48.0,140.70833333333334,35.09498256757566,86.0,121.75,139.5,156.25,275.0
Defending - Forced Turnovers,48.0,134.95833333333334,24.779846249358446,101.0,117.0,132.5,146.25,209.0
Defending - Goals Conceded,48.0,4.770833333333333,3.1232796683173962,0.0,2.0,4.0,6.0,12.0
Defending - Own Goals,48.0,0.25,0.4837794468468967,0.0,0.0,0.0,0.0,2.0
Discipline - Rank,48.0,23.708333333333332,13.840978832274146,1.0,12.5,23.0,36.0,48.0
Discipline - Fouls Against,48.0,36.395833333333336,8.919831081630566,15.0,31.0,35.0,43.25,55.0
Discipline - Fouls For,48.0,34.729166666666664,9.423238778573648,15.0,29.0,33.0,42.0,58.0
Discipline - Indirect Red Cards,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Discipline - Offsides,48.0,5.5625,2.9239018669681056,1.0,4.0,5.0,8.0,14.0
Discipline - Red Cards,48.0,0.20833333333333334,0.5035336128708591,0.0,0.0,0.0,0.0,2.0
Discipline - Yellow Cards,48.0,3.9791666666666665,1.8621605312033738,1.0,2.0,4.0,5.0,9.0
Goalkeeping - Rank,48.0,16.916666666666668,10.428751854763203,1.0,3.0,15.0,27.0,27.0
Goalkeeping - Goals Conceded,48.0,4.770833333333333,3.1232796683173962,0.0,2.0,4.0,6.0,12.0
Goalkeeping - Clean Sheets,48.0,0.875,0.9368348704377336,0.0,0.0,1.0,2.0,3.0
Goalkeeping - Goalkeeper Actions Inside the Penalty Area,48.0,63.4375,20.93750198475697,31.0,48.0,59.5,76.25,124.0
Goalkeeping - Goalkeeper Actions Outside the Penalty Area,48.0,53.5,18.12251450309514,26.0,39.75,50.5,64.25,103.0
Goalkeeping - Goalkeeper Save Percentage (%),48.0,10.083333333333334,26.6025381394519,1.0,2.0,2.0,3.0,100.0
Goalkeeping - Goalkeeper Saves,48.0,10.104166666666666,4.5017234682282705,1.0,7.75,9.0,11.25,24.0
Movement - Rank,48.0,24.479166666666668,13.998464328136114,1.0,12.75,24.5,36.25,48.0
Movement - Offers In Behind,48.0,306.4375,92.59817245795509,155.0,231.75,291.5,371.5,528.0
Movement - Offers In Between,48.0,418.5625,106.85542156119772,164.0,362.0,421.0,475.0,637.0
Movement - Offers In Front,48.0,360.0833333333333,126.91240627002637,143.0,258.5,351.5,424.0,684.0
Movement - Offers Inside Team Shape,48.0,590.6666666666666,178.48157820589006,310.0,444.0,594.0,690.0,1041.0
Movement - Offers Outside Team Shape,48.0,494.4166666666667,128.35983883968674,267.0,405.0,482.5,582.25,799.0
Movement - Offers To Receive,48.0,1085.0833333333333,298.13190236147784,577.0,858.0,1065.5,1288.0,1840.0
Movement - Receptions Between Midfield And Defensive Line,48.0,301.4166666666667,90.63436794330431,146.0,232.25,297.0,363.75,550.0
Movement - Receptions In Behind,48.0,32.791666666666664,13.902331556074882,13.0,21.75,31.5,45.0,69.0
Movement - Receptions Under Pressure,48.0,583.7708333333334,136.25199425959354,342.0,484.0,573.5,663.75,943.0
Physical - Rank,48.0,24.5,14.0,1.0,12.75,24.5,36.25,48.0
Physical - Average Speed (km/h),48.0,6.009375000000001,0.16455492842235117,5.63,5.9,6.02,6.1225000000000005,6.33
Physical - High Speed Running,48.0,4084.4166666666665,650.0934084547482,3093.0,3626.5,3918.0,4397.5,5991.0
Physical - Sprints,48.0,1442.625,240.38069319222473,1080.0,1274.75,1373.5,1532.75,2036.0
Physical - Total Distance (m),48.0,366791.15937500005,55222.68477426689,310036.75,334149.8075,340945.615,376225.07,508926.8
